Cell,area_x,Y,X,area_y,perimeter,major_axis_length,minor_axis_length,eccentricity,solidity,extent,circularity,aspect_ratio,DAPI_mean,DAPI_median,DAPI_std,DAPI_p10,DAPI_p90,DAPI_sum,Alexa_mean,Alexa_median,Alexa_std,Alexa_p10,Alexa_p90,Alexa_sum,Cy3_mean,Cy3_median,Cy3_std,Cy3_p10,Cy3_p90,Cy3_sum,Alexa_pos,Cy3_pos,Cy3_organel_area_px,Cy3_puncta_count,Above_bg,Region
216,66.0,967.9090909090909,97.89393939393939,66.0,28.142135623730947,9.564950359065847,8.784600648795443,0.39561671941870474,0.9166666666666666,0.7333333333333333,1.0472242640569591,1.0888315521067433,0.24041533470153809,0.3044363260269165,0.2107083946466446,0.0,0.6081109344959259,15.867412567138672,0.05981330946087837,0.0,0.10521379113197327,0.0,0.18406644463539124,3.947678327560425,0.24607156217098236,0.25012844800949097,0.03737274557352066,0.20101726055145264,0.29576729238033295,16.24072265625,False,False,0,0,False,Anterior
217,315.0,248.03174603174602,482.4222222222222,315.0,64.5269119345812,22.155628596722476,18.235130059774534,0.5679728510575452,0.9603658536585366,0.7535885167464115,0.9506894066534192,1.2149970153268221,0.2186153084039688,0.21612882614135742,0.07873141020536423,0.2117883950471878,0.22014512419700621,68.86382293701172,0.06924013048410416,0.0,0.1355617642402649,0.0,0.2854019582271576,21.81064224243164,0.3324132561683655,0.3377766013145447,0.03877338394522667,0.29048381447792054,0.37268476486206054,104.71017456054688,True,True,0,5,True,Marginal
218,58.0,889.9827586206897,478.4310344827586,58.0,26.14213562373095,9.275817998381,8.022537189564062,0.5019660917278597,0.9508196721311475,0.7160493827160493,1.066487404667215,1.1562200061156762,0.24944479763507843,0.18075281381607056,0.2811322808265686,0.0,0.7223991572856903,14.467798233032227,0.1038944199681282,0.0,0.17442966997623444,0.0,0.345681893825531,6.025876522064209,0.7588515281677246,0.7671430706977844,0.15928500890731812,0.5240193486213685,0.9553982555866242,44.013389587402344,True,True,0,1,True,Anterior
219,325.0,105.61846153846155,975.1538461538462,325.0,67.94112549695427,24.87371595481397,16.932252657074898,0.7325356092913923,0.9615384615384616,0.7523148148148148,0.8847646266126886,1.4690139852372712,0.3170910179615021,0.26100173592567444,0.193659245967865,0.0,0.5218745589256286,103.05458068847656,0.10189713537693024,0.0,0.1674300581216812,0.0,0.3852778375148774,33.11656951904297,0.5532329082489014,0.5481244921684265,0.10956274718046188,0.4087869942188263,0.7010771751403808,179.80068969726562,True,True,0,3,True,Marginal
220,85.0,1014.2235294117647,734.7764705882353,85.0,32.14213562373095,11.313008259399012,9.619490550337332,0.5262926496743461,0.9444444444444444,0.7727272727272727,1.0339018947043142,1.1760506650741804,0.4266273081302643,0.45789745450019836,0.3602063059806824,0.0,0.94066880941391,36.26332092285156,0.14823921024799347,0.0,0.2545833885669708,0.0,0.5371669888496401,12.600332260131836,0.6728773713111877,0.6993012428283691,0.17809738218784332,0.411799955368042,0.8874136090278626,57.194576263427734,True,True,0,1,True,Anterior
221,261.0,442.67816091954023,87.29885057471265,261.0,59.4558441227157,18.464272247464233,18.07984870346496,0.20299322992094262,0.9490909090909091,0.8055555555555556,0.9278147503101293,1.0212625420878438,0.048509884625673294,0.0,0.10110075771808624,0.0,0.2583107352256775,12.661079406738281,0.03369012475013733,0.0,0.09451983869075775,0.0,0.12352532148361206,8.793122291564941,0.2299020141363144,0.23149167001247406,0.03065440058708191,0.19032959640026093,0.26923707127571106,60.004425048828125,False,False,0,4,False,Anterior
222,463.0,856.3369330453563,769.244060475162,463.0,78.76955262170046,25.027310572759603,23.74478088311802,0.31601319773649494,0.9645833333333333,0.7716666666666666,0.9377219830565735,1.054013119596881,0.19549646973609924,0.0,0.24356567859649658,0.0,0.5217970609664917,90.51486206054688,0.08483972400426865,0.044371768832206726,0.1223997175693512,0.0,0.24874433279037475,39.280792236328125,0.22387981414794922,0.21967704594135284,0.05923076719045639,0.15294042825698853,0.30207828879356385,103.65635681152344,True,False,0,4,False,Anterior
223,66.0,556.3636363636364,818.5,66.0,27.31370849898476,9.936437106385064,8.420753583206844,0.5308559462926696,0.9705882352941176,0.825,1.111712424183585,1.1799938103165593,0.2685965895652771,0.09481710195541382,0.3164386451244354,0.0,0.7633008658885956,17.727375030517578,0.06399637460708618,0.0,0.10659821331501007,0.0,0.2039225548505783,4.223760604858398,0.24350668489933014,0.24312545359134674,0.024468719959259033,0.217395581305027,0.2646558880805969,16.071441650390625,False,False,0,0,False,Anterior
224,102.0,719.0980392156863,816.8529411764706,102.0,34.970562748477136,12.243484317014232,10.613958146808125,0.4984704962745707,0.9622641509433962,0.7727272727272727,1.048105002095688,1.1535267190304632,0.39917832612991333,0.3413039445877075,0.309756875038147,0.0,0.8531576812267303,40.716190338134766,0.09307801723480225,0.0,0.15810619294643402,0.0,0.3717620730400088,9.49395751953125,0.3124302625656128,0.3191106915473938,0.05649478733539581,0.23737894892692565,0.3818936854600906,31.867887496948242,True,True,0,2,True,Anterior
225,99.0,385.2020202020202,985.8181818181819,99.0,34.72792206135786,12.1269642395836,10.442592944885222,0.5084266866001269,0.9519230769230769,0.8181818181818182,1.0315432992600997,1.1612981855740516,0.2364412546157837,0.20279043912887573,0.22695118188858032,0.0,0.6115179657936096,23.407684326171875,0.03631049394607544,0.0,0.0960695743560791,0.0,0.09573216438293457,3.5947389602661133,0.528019368648529,0.5247593522071838,0.07112643867731094,0.4386290669441223,0.6098057866096497,52.27391815185547,False,True,0,1,True,Anterior
